
2024/09/28 (15:19:44) | ===> btop++ v.1.4.0
2024/09/28 (15:19:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (10:38:51) | ===> btop++ v.1.4.0
2024/10/18 (10:38:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (01:27:42) | ===> btop++ v.1.4.0
2024/10/24 (01:27:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (09:25:14) | ===> btop++ v.1.4.0
2024/11/03 (09:25:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (17:48:57) | ===> btop++ v.1.4.0
2024/11/16 (17:48:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (15:32:37) | ===> btop++ v.1.4.0
2024/12/05 (15:32:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (15:18:22) | ===> btop++ v.1.4.0
2024/12/28 (15:18:22) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/24 (19:05:11) | ERROR: Stall in Runner thread, restarting!
2025/02/27 (11:03:49) | WARNING: Failed to join _runner thread on exit!

2025/02/27 (11:03:53) | ===> btop++ v.1.4.0
2025/02/27 (11:03:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (22:00:30) | ===> btop++ v.1.4.0
2025/03/10 (22:00:30) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/13 (21:03:28) | ERROR: Stall in Runner thread, restarting!

2025/03/14 (16:48:39) | ===> btop++ v.1.4.0
2025/03/14 (16:48:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/16 (20:39:11) | ERROR: Stall in Runner thread, restarting!
2025/03/16 (20:42:59) | WARNING: Failed to join _runner thread on exit!

2025/03/16 (20:43:02) | ===> btop++ v.1.4.0
2025/03/16 (20:43:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (19:21:59) | ===> btop++ v.1.4.0
2025/03/21 (19:21:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (18:54:04) | ===> btop++ v.1.4.0
2025/03/30 (18:54:04) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/30 (21:10:15) | ERROR: Stall in Runner thread, restarting!
2025/03/31 (21:33:26) | WARNING: Failed to join _runner thread on exit!

2025/03/31 (21:33:33) | ===> btop++ v.1.4.0
2025/03/31 (21:33:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (20:04:24) | ===> btop++ v.1.4.0
2025/04/06 (20:04:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (19:03:41) | ===> btop++ v.1.4.0
2025/04/16 (19:03:41) | WARNING: Intel GPU: Failed to initialize PMU
